Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Place,Place_Reconciled,Place_Qid,Place_Coordinates,Country,Occupation,Original_LINE
"
74,1873,GEG,OM,HL,IN,53,Dr. phil.,Michael Weske,Michael Weske,,,,,Tartu,Q13972,"58.38,26.7225",,," Dr. phil. Michael Weske.| 
"
75,1873,GEG,OM,HL,IN,54,,A. Wichmann,"Wichmann, A.",,,,,Tartu,Q13972,"58.38,26.7225",,stud. jur.," A. Wichmann,| stud. jur. 
"
76,1873,GEG,OM,HL,IN,55,,A. Willigerode,A. Willigerode,,,,,Tartu,Q13972,"58.38,26.7225",,Conststorialrath.," A. Willigerode,| Conststorialrath. 
"
77,1873,GEG,OM,HL,IN,56,,P. Zilchert,P. Zilchert,,,,,Tartu,Q13972,"58.38,26.7225",,Bankbeamter," P. Zilchert,| Bankbeamter. 
"
78,1873,GEG,OM,HL,OUT,57,,N. Andersohn,N. Andersohn,,,,Minsk,Minsk,Q2280,"53.902246,27.561837",,Oberlehrer am Gymnasium," N. Andersohn,| Oberlehrer am Gymnasium in Minsk. 
"
79,1873,GEG,OM,HL,OUT,58,,Fr. Amelung,"Amelung, Friedrich",1842,1909,133247341,Woiseck,Võisiku,Q849030,"58.625555555556,25.918888888889",,Fabrikbesitzer," Fr. Amelung,| Fabrikbesitzer in Woiseck. 
"
80,1873,GEG,OM,HL,OUT,59,,C. von Brasch-Aya,C. von Brasch-Aya,,,,,,,,,dim. Landrath," C. v. Brasch-Aya,| dim. Landrath. 
"
81,1873,GEG,OM,HL,OUT,60,Dr.,A. Christiani,"Christiani, Arnold",1807,1886,131520954,Riga,Riga,Q1773,"56.9475,24.106944444444",,Gen.-Superintendant," Dr. A. Ehristiani,| Gen.'Superintendent in Riga. 
"
82,1873,GEG,OM,HL,OUT,61,,Georg Cramer,Georg Cramer,,,,Haakhof bei Narva,Aa Manor,Q16409363,"59.42527778,27.15066667",,Gutsbesitzer," Georg Cramer,| Gutsbesitzer aufHaakhof bei Narva. 
"
83,1873,GEG,OM,HL,OUT,62,Dr.,Fr. Enghoff,Fr. Enghoff,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,," Dr. Fr. Enghoff| in Petersburg. 
"
84,1873,GEG,OM,HL,OUT,63,,W. Genbt,W. Genbt,,,,Narva,Narva,Q102158,"59.379166666667,28.200555555556",,dim. Rathsherr," W. Genbt,| dim. Rathsherr in Narva. 
"
85,1873,GEG,OM,HL,OUT,64,Mag.,K. Görtz,K. Görtz,,,,Moskau,Moscow,Q649,"55.755833333333,37.617777777778",,Professor ber Archäologie an der Universität," Mag. K. Görtz,| Professor ber Archäologie an der Universität zu Moskau. 
"
86,1873,GEG,OM,HL,OUT,65,,W. E. Grohmann,W. E. Grohmann,,,,Torgel,Tori,Q1892151,"58.481388888889,24.811666666667",,Pastor," W. E. Grohmann,| Pastor zu Torgel. 
"
87,1873,GEG,OM,HL,OUT,66,Mag.,H. Graff,Heinrich Gräff,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Director der St. Petri-Kirchenschule," Mag. H. Graff,| Director der St. Petri-Kir« chenschule in Petersburg. 
"
88,1873,GEG,OM,HL,OUT,67,Dr.,I. Girgensohn,I. Girgensohn,,,,Riga,Riga,Q1773,"56.9475,24.106944444444",,Lehrer am Realgymnasium," Dr. I. Girgensohn,| Lehrer am Realgymna-sium in Riga. 
"
89,1873,GEG,OM,HL,OUT,68,,H. Hansen,H. Hansen,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Chef einer Abtheilung der Agrarbank," H. Hansen,| Chef einer Abtheiluug der Agrar-bank in Petersburg. 
"
90,1873,GEG,OM,HL,OUT,69,Dr. med.,Hirsch,Hirsch,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,," Dr. med. Hirsch| in Petersburg. 
"
91,1873,GEG,OM,HL,OUT,70,,I. Hurt,I. Hurt,,,,Odenpäh,Otepää,Q339347,"58.057222222222,26.498333333333",,Pastor," I. Hurt,| Pastor zu Odenpäh. 
"
92,1873,GEG,OM,HL,OUT,71,,A. Jacobson,"Jacobson, A.",,,1055733655,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Gymnasiallehrer," A. Jacobson.| Gymnasiallehrer in Petersburg. 
"
93,1873,GEG,OM,HL,OUT,72,,W. Jakowlew,W. Jakowlew,,,,,,,,,Docent an der Universität Warschau," W. Jakowlew,| Docent an der Universität Warschau. 
"
94,1873,GEG,OM,HL,OUT,73,,I. Köhler,I Köhler,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Professor," I. Köhler.| Professor in Petersburg. 
"
95,1873,GEG,OM,HL,OUT,74,,G. Kriegsmann,G. Kriegsmann,,,,Rantzen,Rantzén,Q47006707,,,," G. Kriegsmann| in Rantzen. 
"
96,1873,GEG,OM,HL,OUT,75,,A. Kotljarewski,A. Kotljarewski,,,,,,,,,Mag. ehemal. Professor der Universität," A. Kotljarewski,| Mag., ehemal. Professor der Universität. 
"
97,1873,GEG,OM,HL,OUT,76,,Anna Baronesse Krüdener,Anna Baronesse Krüdener,,,,Wolmar,Valmiera,Q108037,"57.538055555556,25.423055555556",,," Anna Baroness.e Krüdener| in Wolmar. 
"
98,1873,GEG,OM,HL,OUT,77,,Victor Baron Laudon,Victor Baron Laudon,,,,Keusen,Ķeiži mõis,Q42900747,"57.62748,25.55437",,," Victor Baron Laudon| zu Keusen.. 
"
99,1873,GEG,OM,HL,OUT,78,,C. Laaund,C. Laaund,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Pastor," C. LaaUnd,| Pastor in Petersburg. 
"
100,1873,GEG,OM,HL,OUT,79,,G. von Liphart,G. von Liphart,,,,Rathshof,Ratshof,Q1319409,"54.71986111,20.45401389",,dim. Landrath," G. v. Liphart,| dim. Landrath, zu Rathshof. 
"
101,1873,GEG,OM,HL,OUT,80,,C. Malm,C. Malm,,,,Rappel,Rapla,Q215971,"58.994444444444,24.801111111111", Estland,Pastor," C. Malm,| Pastor zu Rappel (Estland"
102,1873,GEG,OM,HL,OUT,81,,K. Mühlenthal,K. Mühlenthal,,,,Neuhausen,Vastseliina,Q2981703,"57.731944444444,27.281944444444",,Arzt," K. Mühlenthal,| Arzt in Neuhausen. 
"
103,1873,GEG,OM,HL,OUT,82,,G. Masing,"Masing, Georg",1885,1956,137937431,Neuhausen,Vastseliina,Q2981703,"57.731944444444,27.281944444444",,Pastor," G. Mas ing,| Pastor zu Neuhausen. 
"
104,1873,GEG,OM,HL,OUT,83,,I. Masing,I. Masing,,,,Rappin,Räpina,Q1483558,"58.097777777778,27.464166666667",,Pastor," I. Masing,| Pastor zu Rappin. 
"
105,1873,GEG,OM,HL,OUT,84,,C. Oehrn,C. Oehrn,,,,Wenva,Võnnu,,,,Pastor," C. Oehrn.| Pastor zu Wenva». 
"
106,1873,GEG,OM,HL,OUT,85,,G. von Pfeisfer,G. von Pfeisfer,,,,Alt Pigast,Kõlleste Rural Municipality,Q1542997,"58.070833333333,26.835",,," G. v. Pfeisfer| in Alt Pigast. 
"
107,1873,GEG,OM,HL,OUT,86,,C. Pödder,C. Pödder,,,,Moskau,Moscow,Q649,"55.755833333333,37.617777777778",,Buchhalter," C. Pöd der,| Buchhalter in Moskau. x 
"
108,1873,GEG,OM,HL,OUT,87,,G. Rosenpflanzer,G. Rosenpflanzer,,,,Rathshof,Ratshof,Q1319409,"54.71986111,20.45401389",,Oberverw.," G. Rosenpflanzer,| Oberverw. in Rathshof. 
"
109,1873,GEG,OM,HL,OUT,88,,C. von Sengbusch-Launekalln,C. von Sengbusch-Launekalln,,,,Riga,Riga,Q1773,"56.9475,24.106944444444",,," C. v. Sengbusch-Launekalln| in Riga. 
"
110,1873,GEG,OM,HL,OUT,89,,Jegor von Sivers,"Sivers, Jegór von",1823-11-13,1879-04-24,117419109,Riga,Riga,Q1773,"56.9475,24.106944444444",,Professor der Landwirthschaft am Polytechnikum," Jegor v. Sivers,| Professor der Landwirth» schast am Polytechnikum in Riga. 
"
111,1873,GEG,OM,HL,OUT,90,,Carl Graf SieverS,"Sievers, Carl Gustav von",1772-11-19,1856-03-30,1168869048,Wenden,Cēsis,Q107582,"57.313055555556,25.274722222222",,," Carl Graf SieverS| in Wenden. 
"
112,1873,GEG,OM,HL,OUT,91,,Carl Stein,Carl Stein,,,,Antzen,Antsla,,,,Pastor," Carl Stein,| Pastor in Antzen. 
"
113,1873,GEG,OM,HL,OUT,92,,C. Toepffer,C. Toepffer,,,,Talkhof,Puurmani,Q3477562,"58.576111111111,26.288333333333",,Pastor," C. Toepffer,| Pastor zu Talkhof. 
"
114,1873,GEG,OM,HL,OUT,93,,Alexis Graf Uwarow,Alexis Graf Uwarow,,,,Moskau,Moscow,Q649,"55.755833333333,37.617777777778",,Kammerherr Präsident der archäologischen Gesellschaft," Alexis Graf Uwarow,| Kammerherr, Prä-sident der archäologischen Gesellschaft in Moskau. 
"
115,1873,GEG,OM,HL,OUT,94,,Nicolai von Wahl,Nicolai von Wahl,,,,Pajus,Pajusi,Q3465378,"58.705277777778,25.94",,," Nicolai v. Wahl| in Pajus. 
"
116,1873,GEG,OM,AB,,95,Dr.,A. Schmiedeberg,A. Schmiedeberg,,,,Straßburg i E,Strasbourg,Q6602,"48.573333333333,7.7522222222222",,Professor der Phar-makologie," Dr. A. Schmiedeberg,| Professor der Phar-makologie in Straßburg i. E. 
